uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=1685475484_:{'precision': array([0.0071487 , 0.00526693]), 'recall': array([0.06416445, 0.09493421]), 'ndcg': array([0.03806119, 0.04648866]), 'hit_ratio': array([0.06985069, 0.10288403]), 'auc': 0.0}
uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=1061491435_:{'precision': array([0.0070362 , 0.00518511]), 'recall': array([0.0624429 , 0.09318197]), 'ndcg': array([0.03721179, 0.04548603]), 'hit_ratio': array([0.06882798, 0.10114543]), 'auc': 0.0}
uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=1021767534_:{'precision': array([0.00716916, 0.0054101 ]), 'recall': array([0.06415593, 0.09711086]), 'ndcg': array([0.03853521, 0.04766097]), 'hit_ratio': array([0.07025977, 0.1057476 ]), 'auc': 0.0}
uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=527685957_:{'precision': array([0.00647372, 0.00489364]), 'recall': array([0.05784925, 0.088048  ]), 'ndcg': array([0.03443979, 0.0426311 ]), 'hit_ratio': array([0.06350992, 0.09531602]), 'auc': 0.0}
uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=1532092310_:{'precision': array([0.00666803, 0.00499591]), 'recall': array([0.05956569, 0.08982921]), 'ndcg': array([0.03485253, 0.04309461]), 'hit_ratio': array([0.06524852, 0.09746369]), 'auc': 0.0}
uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=2063539907_:{'precision': array([0.00669871, 0.00491409]), 'recall': array([0.06019636, 0.08857981]), 'ndcg': array([0.03553263, 0.04324345]), 'hit_ratio': array([0.06555533, 0.09582737]), 'auc': 0.0}
uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=1307706997_:{'precision': array([0.00671917, 0.00497546]), 'recall': array([0.06044863, 0.08945422]), 'ndcg': array([0.03524706, 0.043211  ]), 'hit_ratio': array([0.06627122, 0.09695234]), 'auc': 0.0}
uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=300606982_:{'precision': array([0.00651462, 0.00486807]), 'recall': array([0.05874412, 0.08765596]), 'ndcg': array([0.03494413, 0.04292241]), 'hit_ratio': array([0.06381673, 0.09490693]), 'auc': 0.0}
uu_ii=3_2_0.03_0.07_topk=5_t=0.6_regs=0.001_dim=64_seed=1572205414_:{'precision': array([0.00648394, 0.00492943]), 'recall': array([0.05849185, 0.08886446]), 'ndcg': array([0.03422341, 0.04255566]), 'hit_ratio': array([0.06361219, 0.09613418]), 'auc': 0.0}
